content,notes,number
"
Advanced techniques are used to tackle complex digital information in order to answer pressing business questions keeping Executives up at night...
Problem 
Statement

Due
Diligences
Strategic
Proposal








IF, SUMIFS, COUNTIFS,
Pivots
VLOOKUPS, 

INDEX(Match)
Weve identified that product X is breaking specifically in APAC branches costing over $50M in annual account losses; also attributing to losses, an additional $10M of customer satisfaction credits was required to maintain the target NPS of 9. (net promoter score) 
Reconcile

Deep-Drive
Core accounts have been cancelling memberships and were unable to determine whats causing the issue, where is the origin, and whats the cost of losses?","PANOS

This is a common instance  whether different products or industry  its a common question. IN this specific case, you will need to evaluate, product data, customer data, financials, NPS reports...
Where are the risks or pains of our business? Starts open ended like that, and then you have to have the ability to quickly navigate across multiple sources, integrate the story, and develop the report. W ho knows how we can trace an account (customer) across these? What variable is our token, passport to trace the customer journey?

The faster, more efficient, and accurate you can do that, the more valuable the resource you will become to executives. Quicker turnaround, quicker insights for the board to make decisions. You become to go-to for senior execs, they wont even go to your manager sometimes. ",168
Get-A-Life Consulting Exercise,,169
"Get-A-Life: Self-Assessment
Your inner-conscience has asked Get-A-Life Consulting to do an activity-based assessment of your daily time investments. Your inner-conscience has requested a quick current state snapshot analysis due asap.",PANOS,170
"Session Takeaways
Excel Introduction  Its Uses and Key Functions
Understanding Why Mastering Data Analysis is Important
Developed Basic Report Template for an Update
Learned Fundamental Excel Techniques and Formulas: Tables, Pivots, SUMIF, IF, Visualizations, Filters, Classifications





= Complete



","CHRIS

How many of you have Linkedin? I want you to add Data Analysis and endorse each other. I will also endorse if you add me  and in return professional mentoring",171
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466

Contacts
www.aesopba.com

173

Q & A",,172
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Excel Empowerment
",,173
"Oct 21th Agenda
175
Implementation
Implementation


Conceptual Thinking

Communication
",,174
Todays Agenda,,175
Empowering Formulas,,176
Empowering Formulas,CHRIS,177
"Why is Empowerment Important?
I want only new products reported
Can you count the number of patients that have been diagnosed and declined care?
Can you pull in the 2017 numbers?
Can you filter the dataset for names that start with B
I want to see if customers filled in either status or preference
Can you show me firms that are small business and revenue less than $500K?
Can you show me the totals for just Europe and category of Digital products?
I need you to pull all assets that arent blank in fed approved audits
Can you quickly pull in historical data by company and then show all companies that have averaged greater than 10% growth over 5 years and are female owned businesses but exclude Enterprises
Can you show me a total count of staff that is senior title, beyond 10 years, in Finance, only in east coast, has received high ratings, has not switched roles in 3 years, has a CPA










MASTERING FORMULAS ENABLES CREATIVE SOLUTIONS TO ANY REQUEST",PANOS,178
Empowering Formulas,"PANOS
",179
"

Business Case: CEOs Financial Snapshot Request
Cindy  can you look through our current product portfolio and give me a summary by region of our revenue, costs, and profitability coming from our firm investments?

Please send me a simplified table breakout with a pie chart so I can pass along to our investors
Oliver Barlow
BizBank CEO
Sure thing  Oliver, Ill work with the Aesop team to pull those results
Cindy Lee
BizBank CFO
Problem 
Statement","PANOS
",180
Empowering Formulas,"PANOS
",181
"

Business Case: CEOs Financial Snapshot Request
Priya  We have concerns that were accumulating lots of Red status projects. Based on our employee surveys with the Project Managers, seems like they dont quite understand the process for escalating and managing risk where appropriate. Can you send me by Dept the count of projects that are Red status? We can validate if theyre truly issues or a matter of operational / process training.
Oliver Barlow
BizBank CEO
Oliver  interesting results from the survey, well pull the Red projects by Dept and follow-up up to validate the true status with the program leads
Priya Suricha
BizBank COO
Problem 
Statement","Whos new? Receive datasets from firends
Download from our shared drive the datasets
Vlookup and INDEX MATCH
Carry on with exercise, finish for Homework and store",182
Empowering Formulas,,183
"

Business Case: CEOs Financial Snapshot Request
Cindy  To help our profit margins, I am looking to make some
more strategic decisions on the type of work we perform. Would you be able to flag for me as critical costs the programs where the costs are at least 70% of the earnings? If theres no revenue being generated for projects already expensed to our books, can you please mark those projects as Non-investment. Send as trimmed spreadsheet when ready
Oliver Barlow
BizBank CEO
Hi Oliver  Great plan, well track down the high expense type projects and send you that list
Problem 
Statement
Cindy Lee
BizBank CFO","Whos new? Receive datasets from firends
Download from our shared drive the datasets
Vlookup and INDEX MATCH
Carry on with exercise, finish for Homework and store",184
Empowering Formulas,,185
"

Business Case: CEOs Financial Snapshot Request
Betty  can you look through our current product portfolio and let me know what percentage of our projects are regulatory compliance and in North America? I am concerned all of our projects will be impacted by regulatory changes in North America. 

Please send me the percentage of our projects that are in NA and regulatory. 
Oliver Barlow
BizBank CEO
Oliver  very good question, well look at only the projects that are both Regulatory Compliance and in NA to let you know the proportion this group makes up
Betty Smith
BizBank CCO
Problem 
Statement",,186
Empowering Formulas,,187
"

Business Case: CEOs Financial Snapshot Request
Betty  we just found out Europe will suffer similar regulatory updates. Could you identify all regulatory projects that are either in NA or EMEA?

Please send me the percentage of our regulatory projects that are in NA or EMEA
Oliver Barlow
BizBank CEO
Oliver  I understand.  Well look at the Regulatory Compliance projects that are either in NA or EMEA?
Betty Smith
BizBank CCO
Problem 
Statement","Whos new? Receive datasets from firends
Download from our shared drive the datasets
Vlookup and INDEX MATCH
Carry on with exercise, finish for Homework and store",188
Empowering Formulas,,189
"

Business Case: CEOs Financial Snapshot Request
Amy  our investors are not ready to invest heavily in 2020 quite yet. If we cut out all of the investments that end in 2020 or later and that are greater than 3M in budget, how much budget will we have to re-allocate? 

Please send me the aggregate budget and the number of projects ending in 2020 or later that have a greater than 3M budget
Oliver Barlow
BizBank CEO
Oliver  I think its going to be big. Ill send that over to you shortly.
Amy Baker
BizBank CRO
Problem 
Statement","Whos new? Receive datasets from firends
Download from our shared drive the datasets
Vlookup and INDEX MATCH
Carry on with exercise, finish for Homework and store",190
Empowering Formulas,,191
"

Business Case: CEOs Financial Snapshot Request
Amy  we just heard from our investors that 50 percent of our investments need to deal with Security.

Could you confirm how close we are to 50% of our investments relating to security
Oliver Barlow
BizBank CEO
Oliver  we can deduce which investments are related to security if it contains the word fragment Secur within the Project Name. Ill let you know momentarily
Amy Baker
BizBank CRO
Problem 
Statement",,192
Empowering Formulas,,193
"

Business Case: CEOs Financial Snapshot Request
Amy  I have a hunch that most of our status Red investments are coming from one region. 

Please send over a list of our red investments with just the name, rag status, and region
Oliver Barlow
BizBank CEO
Oliver  I have a hunch which region have the most red investments. Ill send you over that list shortly
Amy Baker
BizBank CRO
Problem 
Statement",,194
Empowering Formulas,,195
"VLOOKUP
Hey Oliver  did you see this email from
Apple?
I did! This is great, glad to see our
Partnership blossoming
Awesome right? So whats next?
Lets send them over the Live LATAM Apple projects IDs, that our dept leads have ranked 4 & 5 as highly beneficial to customer experience",PANOS,196
"NOW YOU TRY
VlookUp vs Index/Match
198",PANOS,197
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466

Contacts
www.aesopba.com

199

Q & A",,198
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Accelerated Analyst
Getting insight and beyond the data",,199
Todays Agenda,,200
Financial Statements,,201
"The Health Report of an Organization: Financial Statements 




Demonstrates the genetic makeup of an organization 
Departments
Products / Services
Geographies
Gives a pulse of the organization  using rations
Net Income / Net Sales
ROI (return on investment)
ROA (return on asset) 
Gross Profitability (Profit / Sales)
Signals overall health
Net Income
Earnings
Costs
Spotlights specific areas posing risks or showing opportunities
% Change
Ratio Pain Points
Benchmarks & Thresholds",PANOS,202
"Who is the Audience of Income Statements and How Its Being Used
Use the income statement as a one-pager report card of their company and department performance. Large decisions are made that affect the growth or sell-off of the company based on the P&L (profit & loss)
Company
Executives
Investors
Consultants
Internal Finance & Strategy Teams
Investors use the income statement to value the company as well as project future investment cashflows and prospective growth
Consultants often use the income statement and annual reports as a starting point to understand the  company. At a high level, consultants can identify the most pressing issues or opportunities in financial statements  which then leads into the deep-dive analysis
Internal Finance teams under the CFO typically compile, consolidate, and validate the company-wide data in order to prepare financial statements that are reviewed by Wall Street, Regulators, Investors, and Executives. In-house Corporate Strategy teams use the data to also influence the strategic direction of the firm
Key Users
Use Purpose
Income Statement","
PANOS",203
"What are the Main Pieces of a Financial Statement?
The customer purchases of services or products that results in positive cashflow to the company. Otherwise known as earnings or sales.
The costs incurred by the firm to produce or maintain the core products or services. Depending on how elaborate the operating model is, typical expenses by product line are: labor (salaries), operating costs, sales & marketing, software / hardware purchases, outsourced professional services, research & development
The interaction between revenue and profits determines the profitability of the company and product line. If it costs more to operate and develop the product than the actual revenue it generates from customer sales, then that product is not considered profitable","
PANOS",204
Financial Statement Prep,,205
"Building a Financial Statement


Hi Cindy  Its that time of the year again, quarterly financial reporting. Has the Finance team kicked-off the product portfolio reporting by line of business / region ? When do you think we can have a view?
Oliver Barlow
BizBank CEO
Hi Oliver  weve had a few folks out of office, but I think we have sufficient coverage with the Aesop team onsite. Well sync with them and have something to you by COB
Cindy Lee
BizBank CFO
Problem 
Statement","PANOS
",206
"Steps to Building a Financial Statement
1
Document key elements
2
Transfer over Product Portfolio dataset
3
Now, ________________________
4
________________________","
PANOS",207
"Steps to Building a Financial Statement
1
Document key elements
2
Transfer over Product Portfolio dataset
3
4
________________________
Utilize SUMIFS to get the all-in","
PANOS",208
"Steps to Building a Financial Statement
1
Document key elements
2
Transfer over Product Portfolio dataset
3
4
Expand SUMIFS with cell lock combination to capture regional & product metrics
Utilize SUMIFS to get the all-in","
PANOS",209
"Working with Rations for Strategic Insights


Thanks for sending this over. This is helpful for the board. I am a visual person and cant quickly interpret any story with these figures, can we add in some strategic insights or ratios that tell some kind of performance story? Id love to see a heatmap with our cost / rev ratios.
Oliver Barlow
BizBank CEO
Hi Oliver  I like that idea, well play around
Cindy Lee
BizBank CFO
Problem 
Statement","
PANOS",210
"The Power of Ratios
Financial Strategy
Uses the ins / outs to convey a story that leads to a decision as part of a strategy


Financial Reporting
Tells the ins / outs according to standard needs and conventions

The Science
The Science meets Artist","PANOS
",211
"Working with Rations for Strategic Insights


Thanks for sending this over. This is helpful for the board. I am a visual person and cant quickly interpret any story with these figures, can we add in some strategic insights or ratios that tell some kind of performance story? Id love to see a heatmap with our cost / rev ratios.
Oliver Barlow
BizBank CEO
Hi Oliver  I like that idea, well play around and let you know what we find
Cindy Lee
BizBank CFO
Problem 
Statement","PANOS
",212
"Building a Financial Statement
1
Create section of Vlookups using Costs / Revenue Ratios
2
Address Errors as Non Investments areas
3
4
What are the findings?
Apply conditional formatting where 50% cost / revenue is amber","
PANOS",213
"
Working with Rations for Strategic Insights

Cindy Lee
BizBank CFO
Hi Oliver  Interesting findings from the Aesop team. For our revenue-generating lines, looks like we have some high risk areas in LATAM infrastructure, and OneBank across NA and APAC. We have some really profitable momentum with Device Banking in LATAM, helping the overall product line. 

@CIOWendy  any idea whats driving the LATAM infrastructure costs?




Wendy Tounkara
BizBank CIO

Hi Cindy  I figured the LATAM costs were going to catch up to us at some point. The region doesnt have mature networks or domestic vendors to setup robust systems to manage our Apple Produce Device Banking. Weve hired external vendors and transported the hardware which has increased costs. Not to mention, our engineering teams working overtime to secure the networks so Apple product users can be active this quarter","
PANOS",214
Scenario Forecasting,,215
"Adhoc Analysis to Answer Key Questions


Wow  I had no idea our LATAM networks were driving up our costs like this. This is alarming. At what rate do we have to Grow YoY in Device Banking Apple Products in LATAM in order to offset (breakeven) the LATAM infrastructure losses assuming they remain flat. I know over the next two years we are locked at 5% & 10% growth...our teams are going to burn out if we push too hard so whats the lowest rate we can grow at Y3 to breakeven by Y5? 
Oliver Barlow
BizBank CEO
Let me run the scenario and get back to you
Cindy Lee
BizBank CFO
Problem 
Statement","PANOS
",216
"Adhoc Analysis to Answer Key Forecasting Questions
Cindy Lee
BizBank CFO
Hi Oliver  given the assumptions provided, it looks like we would break even by Y5 if we grew by ~33% in Y3. Thats a doable goal for us especially after we partner with Apple in the region and look to reduce Infrastructure costs  therefore this is a conservative forecast
","
PANOS",217
"Adhoc Analysis to Answer Key Questions

Great work! This is very insightful and helpful for our future planning as we enter the LATAM region and consider the implementation costs to launch this new product. I will regroup with the marketing team to ensure we hit that 33% target by Y3 by ramping up marketing campaigns and gaining more customers!
Oliver Barlow
BizBank CEO
Problem 
Statement","
PANOS",218
"Business Intelligence
The ability to collect and react on information
The ability to apprehend interrelationships to guide actions towards a desired goal - IBM 

A set of methodologies, processes, architectures, and technologies that transform raw data into meaningful and useful  information used to enable more effective strategic, tactical, and operational insights and decision-making.- Forrester Research 


Combining data from the market with company internal data creates a complete picture (i.e. Intelligence )

Creating, Retrieving, & Sharing
Information Technology",CHRIS,219
"Tableau: Best Business Intelligence Solution  Software & Information Industry Association
221
The company was recognized as a leader in the Gartner Magic Quadrant for five consecutive years between 2012 and 2017","CHRIS

""Best Business Intelligence Solution"" by the Software & Information Industry Association",220
"Technologys Progression
From Reporting to Dashboards

Rapidly Analyze Data
Browse & Explore
Observer and Calculate
User-Friendly Dashboards
","CHRIS

Tableau is the fastes evolving Business Intelligence tool 


IBM
International Business Machines Corporation
INventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM).
And what came before",221
"What is Tableau?
Tableau helps people see and understand their data","CHRIS

A business intelligence and data visualization tool allowing users to make sense of their data through interactive charts, graphs, and diagrams.

",222
Tableau Video,CHRIS,223
"
        What are the key concepts?
Tableau Terms



Dimensions
Measures
Calculated
Fields

Dashboards

Stories
Represents fields that contains qualitative data or categorical data. 
Represents a field that contains quantitative data
When your data source doesnt contain all the fields you need, add new ones as calculated fields
Dashboards are collections of worksheets that allow you to analyze multiple views at once
Stories are collections of worksheets and dashboards that work together to link data and show how data is connected",CHRIS,224
"Tableau Interface
226","CHRIS
",225
"

Business Case: CEOs Financial Snapshot Request
Amy  our investors would like to see visually how our budget is allocated across all the different regions
Oliver Barlow
BizBank CEO
Oliver  sure! That will be a cinch to do with our Business Intelligence tool (Tableau)
Amy Baker
BizBank CRO
Problem 
Statement","CHRIS
",226
"

Business Case: CEOs Financial Snapshot Request
Amy  its bonus time again! Could you create a leaderboard of our program leads showing how much revenue they are managing?

Please do not share as this info is sensitive 
Oliver Barlow
BizBank CEO
Oliver  sure! Well create a bar chart that shows program leads and how much revenue they manage.
Amy Baker
BizBank CRO
Problem 
Statement","CHRIS
",227
"

Business Case: CEOs Financial Snapshot Request
Betty  Id like to have a Dashboard I can check on revenue and costs of our live projects (segmented by region, department, and program lead)

Please create a dashboard that will show me this, so I can check on it daily
Oliver Barlow
BizBank CEO
Oliver  I understand.  Well create a dashboard for you that will shed some light on our live projects by region, department, and program lead
Betty Smith
BizBank CCO
Problem 
Statement","CHRIS
",228
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Developing Effective Presentations

Oct 27, 2018","Hard stop at 1:50  logistics to prepare for some lesion

Who wants to give a quick recap of something that has stood out so far from this learning experience?
As usual, petition
Founder on Netflix ""Nothing in the world can take the place of persistence. Talent will not; nothing is more common that unsuccessful individuals with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. Persistence and determination alone are omnipotent.""",229
Todays Agenda,,230
Importance of Presentations,,231
"Why is an Effective Presentation Important?
""The art of communication is the language of leadership."" 

 James Hughes Presidential Speechwriter
Storytellers, by the very act of telling, communicate a radical learning that changes lives and the world: telling stories is a universally accessible means through which people make meaning. 

- Chris Cavanaugh, EVP Freeman Marketing, Industry Leader
""Developing excellent COMMUNICATION skills is absolutely essential to effective leadership. The leader must be able to share knowledge and ideas to transmit a sense of urgency and enthusiasm to others. If a leader can't get a message across clearly and motivate others to act on it, then having a message doesn't even matter."" 

-  Gilbert Amelio, former Apple CEO and Semiconductor Industry Leader",PANOS,232
"234
Recap: Time / Value Scale of a Project Teams Function
Requirements &
Collection
Reconciliations & Analysis


Status Updates, Rework, 
Ad-hoc Tasks
Delivery



80%
10%
10%
Requirements &
Collection



Status Updates, Rework, 
Ad-hoc Tasks
Delivery



15%
20%
60%

5%
Recons
Time Spent:
Exec. or Client Interest:

",CHRIS,233
"Recap: Skills Sphere of a Modern Day Professional
Excel
(Expert)


PPT Delivery
Access
SQL
SAS
R
STATA
Program Mgmt
Project Mgmt
Communications
Finance & Accounting
Process Flows
Python
C++
Git
Javascript
Ruby
Database Admin
(SQL ETL)
Mode
Qlik/Tableau
Executive Advisor
(Expert)
Market Research
Facilitation
Storytelling
Audits
PHP
Technology Professional
Business Professional
Strategy
The blurred lines of business and technology","PANOS

Todays lesson is heavily focused on the left side of being a business-minded professional. However, our goal here is to be the hybrid which is the central sphere. Where you can take your complex analysis and deliver with confidence so that your hard worked has a true impact.",234
Effective Presentation Development,,235
"

The Steps to Storyboarding
The presentation starts with an overall idea, problem statement, or mission to solve

The idea or mission is then broken-down into key sections with specific subjects determined by the authors


Designated owners start to develop the slides with content that relates to the subject > section > mission 
(connecting the dots) 


A successfully storyboarded presentation guides the audience through your thought process and leaves them with a impactful message, request, or suggestion that resonates

Signs Storyboard of Success: 

Inter-group Conversations
Insightful Questions
Progressive follow-ups asking for more!","PANOS


Panos: Think about anytime you start a paper or thesis, you have an outline. Its the same exact concept here, have an outline that you will fill in with proof points. Thats why liberal arts students make for effective presentation creators. 
Panos: Take about signs of a storyboard success  audience is following along, no glazed eyes, relevant or insightful questions.",236
"A Title that Preps the Audience for the Slide Subject & Content
A concise and impactful opening statement that summarizes or describes the slide content, typically no more than 2 sentences....
Visually digestible with a balance of white space and content...
Use non-distracting shapes or graphics that have a purposeful relation to the content
Avoid text clutters, and content that overlaps or is distractingly misaligned
Use white space, breathing room between content to help expedite content absorption

Understandable statements that are concise, well-organized and positioned 
Presentations are not the place for a thesis, but for key bulleted points that can be spoken to
Verbage matters; use meaningful words, lingos, or phrases that the audience can understand

Use targeted focus techniques to make your point stand-out
Using targeting techniques can make the slide more interactive and adds focus areas on key points 
E.g. Bolding or sizing text, headers, or using different text colors to make words or sections standout (red text to indicate issues, risks, or negative metrics)
Use shapes to draw attention to certain sections, charts, or metrics (dotted circles) 

Consistent and standardized formatting across the whole presentation...
Standard slide structure & setup (prevents audience eye re-adjusting with every new slide)
Company color scheme
Consistent formatting techniques (font sizes  not too tiny or too large, same text styles, colors)
","PANOS


Panos: The techniques to construct a presentation with good flow. 
1) Having consistency in format and slide structure  will show order and prevent the audience from re-adjusting each time to focus on content. Shows also consistency for branding
2) Think of this slide like a canvas, a canva to communicate a really important topic. Working with white space is the key to best demonstrate your thoughts...its called breathing room, you cant cram every little piece of information, you have to decide whats important. 
3) Writing concise is much harder than writing verbose, think that every word or metric matters. How and where you position that is also critical....top down for executive summary, left to right for flow...or connect the dots of breaking down charts. Positioning DOES matter. 
4) Whats the so what? What do you want the audience to focus on? ",237
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Helvetica, size 9, summarizes slide and/or provides key take-away
Optional kicker






Slide content within title bar borders
Slide content within title bar borders","PANOS
",238
"Color Scheme for Consistency of Branding
Font
R: 46
G: 59
B: 66
Font
R: 51
G: 60
B: 66","PANOS
",239
"Delivery Dos and Donts
DO
DONT
Know your audience
Storyboard flow, before creating slides
Refer back to the original objective
Connect the dotes of objective to solution
Offer both quantitative and qualitative inputs
Clearly articulate and demonstrate findings
Involve client / execs, ample timing for          Q & As
Use crisp, consistent formatting techniques and intuitive visualizations
Use appendix for useful details not covered
Practice!
Not cater message to audience
No flow or cohesive story
Neglect to the ultimate priorities or objectives
Explain every step taken to reach the final report
Show too many unnecessary details, aka noise, or over-expose
Come in flat with generic, vague, not executable recommendations
Exclude clients and go on a long lecture
Distracting, clustered visualizations and inconsistent formatting
Not practice or prepare for presentation

","PANOS


KYA  Are they technical-savvy? Do they want the granular or just the high level concept? How familiar are they with the initiative, do you give more background? Are they people that want to feel included? Or Listen-only?",240
Example: Strategic Prioritization Example Flow,"PANOS
",241
"Strategic Prioritization in a Challenging Financial Environment
243



Scenario
Preparation
Preparation
Analysis

Proposal
Company performance challenges requiring program cost reductions
Maintain CEOs 2016 strategic initiatives of: regulation and growth
Data is scattered across systems, departments are silod
Define analysis requirements, understand data schema
Compile list of active 2016 program investments with key metrics
Determine business rules for prioritization exercises
Identify business leads and form a Strategy Council for reviews
Assess current state financials and reduction impacts 
Analyze metrics, and rankings from prioritization exercises with leads
Generate drill-down views to finalize targets for reductions
Prioritize based on business rules and consensus meeting results
Roll-out a firm wide communications and implementation actions
Assess roll-out risks and develop resource change management plans
Deriving an effective prioritization strategy in a cost-cutting environment required a drill-down analysis of planned investments and consensus-oriented reviews with business leads to determine the best path forward.","Panos: The team opened up with a nice layout of an executive summary and the requirements (the mission statement). Then showing what are the steps they took
",242
"Total H1 Demand: $98.2M
Current YTD actuals:$38.4M
Remaining Forecast: $59.8M

Technology (IT): $26.8M
Current YTD actuals:$10.5M
Remaining Forecast: $16.3M

Operations: $23.8M
Current YTD actuals:$8.6M
Remaining Forecast: $15.2M

Reg. & Control: $24.2M
Current YTD actuals:$10.1M
Remaining Forecast: $14.1M

Core Service: $23.5M
Current YTD actuals:$9.2M
Remaining Forecast: $14.3M


CEO Challenge to H1 2016 Book of Work
244
CEO H1 challenge of $90M requires a ~$8M prioritization effort within the Q2 2016 program portfolio currently trending to $98.2M by end of June.


YTD Actuals
$38.4M
Q2 Demand Forecast
$59.8M
H1 Demand Outlook
Program Figures
Challenge

Program Cost ($M)",Here they laid out the current state challenge...nicely opening up with the mission statement again....that you can clearly see they are spending way over the line...,243
"



Roadmap to Prioritization
Establish 
Council 
Determine Business Leaders
Involve Key SMEs
Define Prioritization Rules
Agree on Redemption Approach
Ranking
Exercise
Redeem
Givebacks
2 -3 Days
End of W1 
Week 2 
Develop Ranking Template
Conduct SI Ranking Round 1
Review with Council
Conduct Round 2
Close SI Ranking
Deliver 2nd Iteration
Analyze Collected Metrics
Round 1 Program Opportunities
Validate with Strategy Council
Round 2 Program Opportunities
Validate with Strategy Council
Roll-out Communications
Redeem Allocations
Re-purpose Resources
Identify
Opportunities
2 week plan includes: establishing council and business rules, targeted analysis, and final recommendations.
245","Panos  this was the path they took, clearly demonstrating that they have a plan, how they are executing it, and what the client is expecting to see the results...",244
"
High Level Summary: The Targeted Cohort
246
Ranking exercises with business leads and key metrics reviews have identified 6 programs as opportunities.

QA
Delivery
Planning
Initiation























High Strategic Priority
Low Strategic Priority
Low Progress
High Progress
Opportunity Zone
Technology (IT)
Operations
Regulatory
Core Service
Legend
IT1
OP2
OP6
CS5
CS1
OP5
Dev",Panos  this is a nice strategic visual of where there is opportunity. Clearly the bottom left is the focus zone given the paramester set...this is a great view for the more visual people in the audience.,245
"Detailed Program Review: Give-back Opportunities
247
Based on the established business rules and consensus reviews, business leads have agreed to over $8.2M in give-back opportunities from lower-priority programs to be backlogged for 2017.



Opportunity
$0.7M
$5.2M
$2.3M
2016
Priority
$59.8M
Q2 Total","To support that visual, this is for the tabular / quantitative people in the audience that showed how they decided the programs to de-invest and cut back on. Once that were in early stages with lower NPVs (early stages since they havent kicked off yet). Whats important is that you have the buy-off, agreement for all the people representing these areas.",246
"Adj. H1 Demand: $90.0M
Current YTD actuals:$38.4M
Remaining Forecast: $51.6M
Total Giveback: ($8.2M)

Technology (IT): $26.0M
Current YTD actuals:$10.5M
Remaining Forecast: $15.5M
Program Giveback: ($0.7M)

Operations: $18.6M
Current YTD actuals:$8.6M
Remaining Forecast: $10.0M
Program Giveback: ($5.2M)

Reg. & Control: $24.2M
Current YTD actuals:$10.1M
Remaining Forecast: $14.1M
Program Giveback: N/A

Core Service: $20.2M
Current YTD actuals:$9.2M
Remaining Forecast: $12.0M
Program Giveback: ($2.4M)

H1 2016 Adjusted Book of Work
248
Adjustments resulted in a $90M H1 target with lower priority Ops. projects comprising 60% of the reductions. Available resources to be repurposed to under-staffed critical programs for expedited 2016 delivery.
Program Cost ($M)


YTD Actuals
$38.4M
Q2 Demand Forecast
$51.6M
Adjusted H1 Outlook
Program Figures



($2.7M)
($2.5M)
($2.5M)
Challenge

",Panos  here they showed visually (keeping the same thing) the results of their efforts of the cost-savings.,247
"Next Steps
249
Organization-wide communications and an actionable transition plan will facilitate the strategic shift to meet our CEOs H1 objectives.","Panos  Closing out with next steps helps get everyone on the same page and aware of the actions needed to close this out.
",248
Summary Views,1) Why were looking at slides  to get an idea of some standard (most common) templates or views to use per theme. No need to re-invent the wheel if this is what folks are used to. You can also reference these for your assignment today and for the project case.,249
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.",,250
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Define Situation and Objectives
Gather Data
Synthesize and Analyze
Develop Recommendations
Phase
Key Activities
Sample Deliverables
Interview stakeholders to define vision
Define scope of the analysis
Draft project work plan
Conduct primary research
Conduct secondary research
Describe the competitive environment
Assess advantages/disadvantages, and critical success factors
Evaluate strategic options
Evaluate and recommend strategic alternatives
Define roadmap / next steps for executing strategies
Project work plan
Documented vision of project, outcomes and suggested targets
Summary of preliminary findings
Profiles of key competitors
Market map showing positions of key competitors
List of critical success factors
Leading practice / gap analysis
Competitor Analysis Framework output
Detailed analysis of strategic alternatives",,251
"Supply & Demand Management: Overview of Challenges
Current supply / demand challenges relate to balancing a variety of student loan needs (timing, funding, currency) to fixed investment products while still meeting the eligibility requirements of funders.
Loan 
Demand
Description
Funder Requirements
Manual
Manipulation
Demand comes in at multiple currencies while the bonds are structured as a single currency thus creating the need to assign multiple series for one school instead of managing a single product per school
Establishing pre-emptive controls and long-term draw-down transparency to avoid overdraft risks for high demand loans
Funders with different eligibility requirements create binding conditions for certain series and their allocations which introduces additional criteria to the match-making process
Current need for an automated reporting tool that synchronizes multiple reference sources while producing intuitive and accurate reports",,252
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
Description
Category
Filler
Filler
Filler
Filler
Theme 1
Theme 2
Filler
Filler
Filler
Filler
Filler
Filler
Filler",,253
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.
How we Incorporate our Stakeholder
Stakeholders
Leadership
Data Trustees
Business Data Stewards
Data Custodians
Enterprise Focus
Operational Focus
Shared
Services
Deliver reports of accomplishments, benefits, reduced risks, and lessons learned to influence strategic direction for data governance program, policies, and business improvements 
Provide deliverables indicating systematic issues, impacts, and resolution strategies
Deliver progress reports for transparency and issue escalation
Workshop participation
Coordinate MDM and data quality workshops assisting enterprise-wide adoption
Document and distribute best practices, rules, policies, and standards
Encourage a data quality culture
Drive to consensus for issues within datasets, current state processes, or operating units
Deliver and articulate data quality results and collaboratively investigate root-causes for identified issues
Deliver and joint-review scorecards / diagnostic reports; knowledge-share along the way
Assess needs and execute requirements for conducting data quality assessment
Understand processes, architecture, and share knowledge
Remain in close collaboration throughout the data cleansing process / ETL cycle
In order to create a widespread commitment to data quality, all tiers of the organization will need to be involved in both the promotion and management of such initiatives to drive enterprise-wide adoption as well as achieve the large scale benefits of data quality",,254
"Slide Title  Helvetica, size 18, bond Aesop blue
Slide opener - Helvetica, size 12, Aesop blue. Goal is 2 lines in text box, no more than 3 lines.",,255
Process Flow Views,,256
